model	md5	caprieval_rank	score	irmsd	fnat	lrmsd	ilrmsd	dockq	rmsd	cluster_id	cluster_ranking	model-cluster_ranking	air	angles	bonds	bsa	cdih	coup	dani	desolv	dihe	elec	improper	rdcs	rg	sym	total	vdw	vean	xpcs
../01_rigidbody/rigidbody_99.pdb	-	78	5.815	10.656	0.052	19.809	18.772	0.076	10.895	-	-	-	1302.660	1334.100	201.970	1144.680	0.000	0.000	0.000	12.124	2032.780	-8.056	5372.900	0.000	0.000	0.000	1311.270	16.667	0.000	0.000
../01_rigidbody/rigidbody_82.pdb	-	79	5.914	10.702	0.052	19.882	18.827	0.075	10.925	-	-	-	1520.690	1334.100	201.961	1187.410	0.000	0.000	0.000	10.955	2032.770	-8.809	5372.900	0.000	0.000	0.000	1555.450	43.574	0.000	0.000
../01_rigidbody/rigidbody_46.pdb	-	80	6.055	5.865	0.190	12.482	11.554	0.189	6.031	-	-	-	1599.750	1334.100	201.953	1177.390	0.000	0.000	0.000	5.224	2032.770	-3.709	5372.900	0.000	0.000	0.000	1627.700	31.660	0.000	0.000
../01_rigidbody/rigidbody_63.pdb	-	81	6.082	14.580	0.069	23.133	22.038	0.066	14.251	-	-	-	1319.620	1334.100	201.967	1378.760	0.000	0.000	0.000	9.339	2032.780	-3.485	5372.900	0.000	0.000	0.000	1398.090	81.960	0.000	0.000
../01_rigidbody/rigidbody_31.pdb	-	82	6.145	15.152	0.069	24.250	24.027	0.063	14.527	-	-	-	1156.330	1334.100	201.960	1230.480	0.000	0.000	0.000	7.925	2032.770	-1.341	5372.900	0.000	0.000	0.000	1185.230	30.243	0.000	0.000
../01_rigidbody/rigidbody_13.pdb	-	83	6.530	5.598	0.190	11.319	11.703	0.206	5.496	-	-	-	1174.480	1334.100	201.972	1254.560	0.000	0.000	0.000	8.826	2032.770	-1.541	5372.900	0.000	0.000	0.000	1177.500	4.559	0.000	0.000
../01_rigidbody/rigidbody_21.pdb	-	84	6.639	13.531	0.052	22.745	21.144	0.062	13.772	-	-	-	1355.000	1334.100	201.970	1052.810	0.000	0.000	0.000	11.142	2032.770	-7.755	5372.900	0.000	0.000	0.000	1370.200	22.962	0.000	0.000
../01_rigidbody/rigidbody_47.pdb	-	85	6.826	14.819	0.069	23.061	21.913	0.066	14.285	-	-	-	931.231	1334.100	201.972	1364.730	0.000	0.000	0.000	12.812	2032.770	-1.915	5372.900	0.000	0.000	0.000	955.754	26.438	0.000	0.000
../01_rigidbody/rigidbody_67.pdb	-	86	6.993	6.273	0.121	19.771	14.913	0.110	6.697	-	-	-	1345.570	1334.100	201.963	1048.550	0.000	0.000	0.000	5.432	2032.770	-1.708	5372.900	0.000	0.000	0.000	1373.670	29.809	0.000	0.000
../01_rigidbody/rigidbody_52.pdb	-	87	7.234	2.732	0.310	5.916	5.418	0.405	2.811	-	-	-	1816.350	1334.100	201.954	1241.730	0.000	0.000	0.000	10.616	2032.780	-9.718	5372.900	0.000	0.000	0.000	1865.640	59.009	0.000	0.000
../01_rigidbody/rigidbody_79.pdb	-	88	7.241	10.721	0.052	20.052	18.872	0.074	10.979	-	-	-	1509.430	1334.100	201.967	1130.940	0.000	0.000	0.000	10.717	2032.780	-7.450	5372.900	0.000	0.000	0.000	1520.940	18.955	0.000	0.000
../01_rigidbody/rigidbody_8.pdb	-	89	7.858	4.894	0.155	8.853	9.459	0.240	4.825	-	-	-	1140.650	1334.100	201.960	1083.280	0.000	0.000	0.000	9.715	2032.780	-2.628	5372.900	0.000	0.000	0.000	1157.780	19.764	0.000	0.000
../01_rigidbody/rigidbody_97.pdb	-	90	8.299	14.994	0.069	23.831	21.865	0.064	14.476	-	-	-	1380.710	1334.100	201.961	1675.870	0.000	0.000	0.000	13.564	2032.770	-2.617	5372.900	0.000	0.000	0.000	1408.480	30.379	0.000	0.000
../01_rigidbody/rigidbody_40.pdb	-	91	8.900	14.962	0.069	23.789	21.853	0.064	14.465	-	-	-	1168.380	1334.100	201.959	1666.330	0.000	0.000	0.000	16.089	2032.770	-2.388	5372.900	0.000	0.000	0.000	1183.750	17.765	0.000	0.000
../01_rigidbody/rigidbody_2.pdb	-	92	9.047	12.954	0.069	21.804	20.692	0.071	13.119	-	-	-	1464.640	1334.100	201.960	1296.370	0.000	0.000	0.000	4.558	2032.770	2.436	5372.900	0.000	0.000	0.000	1504.030	36.959	0.000	0.000
../01_rigidbody/rigidbody_60.pdb	-	93	9.131	4.900	0.138	19.025	13.205	0.130	5.487	-	-	-	1070.560	1334.100	201.950	997.048	0.000	0.000	0.000	10.560	2032.770	-2.942	5372.900	0.000	0.000	0.000	1145.370	77.748	0.000	0.000
../01_rigidbody/rigidbody_62.pdb	-	94	10.810	4.866	0.138	18.813	13.094	0.131	5.432	-	-	-	1664.250	1334.100	201.956	1017.080	0.000	0.000	0.000	6.969	2032.770	-3.417	5372.900	0.000	0.000	0.000	1739.420	78.583	0.000	0.000
../01_rigidbody/rigidbody_76.pdb	-	95	11.044	14.968	0.069	23.859	21.855	0.064	14.480	-	-	-	1493.730	1334.100	201.960	1689.940	0.000	0.000	0.000	15.210	2032.780	-2.372	5372.900	0.000	0.000	0.000	1508.110	16.752	0.000	0.000
../01_rigidbody/rigidbody_19.pdb	-	96	11.242	5.561	0.121	10.485	10.725	0.195	5.653	-	-	-	1606.710	1334.100	201.950	1121.850	0.000	0.000	0.000	10.771	2032.770	-4.817	5372.900	0.000	0.000	0.000	1645.840	43.948	0.000	0.000
../01_rigidbody/rigidbody_7.pdb	-	97	12.370	4.451	0.155	16.705	11.906	0.154	4.849	-	-	-	1230.370	1334.100	201.966	1011.530	0.000	0.000	0.000	10.830	2032.780	-1.090	5372.900	0.000	0.000	0.000	1273.350	44.075	0.000	0.000
../01_rigidbody/rigidbody_56.pdb	-	98	12.627	5.594	0.172	11.644	11.298	0.196	5.580	-	-	-	2290.470	1334.100	201.987	1308.320	0.000	0.000	0.000	3.782	2032.770	-1.608	5372.900	0.000	0.000	0.000	2352.110	63.243	0.000	0.000
../01_rigidbody/rigidbody_41.pdb	-	99	13.508	5.657	0.103	21.574	14.854	0.101	6.445	-	-	-	1281.790	1334.100	201.933	1099.930	0.000	0.000	0.000	9.696	2032.780	1.389	5372.900	0.000	0.000	0.000	1343.590	60.412	0.000	0.000
../01_rigidbody/rigidbody_95.pdb	-	100	17.392	6.666	0.103	13.648	12.982	0.144	6.969	-	-	-	1699.010	1334.100	201.941	1221.020	0.000	0.000	0.000	12.983	2032.770	-0.880	5372.900	0.000	0.000	0.000	1748.950	50.822	0.000	0.000
